z,Hz_LCDM,Hz_QFED_mu_0.1
125.5343843843844,55530.55799635448,55530.5461456314
126.63547547547549,56265.33961988121,56265.32790765095
127.73656656656658,57003.47729736357,57003.46572088882
128.83765765765764,57744.95891898201,57744.947475601664
129.93874874874874,58489.77253819396,58489.76122532042
131.03983983983983,59237.90636824683,59237.89518336339
132.14093093093092,59989.34877879388,59989.33771945219
133.242022022022,60744.0882926086,60744.07735642633
134.3431131131131,61502.113582394304,61502.1027670528
135.4442042042042,62263.41346768508,62263.402770927205
136.5452952952953,63027.9769118352,63027.966331463234
137.64638638638638,63795.79301909331,63795.78255296692
138.74747747747747,64566.85103175882,64566.84067779314
139.84856856856857,65341.140327417124,65341.13008358091
140.94965965965966,66118.65041625126,66118.6402805651
142.05075075075075,66899.37093842698,66899.3609089616
143.15184184184184,67683.29166154895,67683.28173642358
